date,topic,arxiv_id,title,category,role,used_in_article,main-area,sub-area,method-tag
2026-03-29,phonon-thermal-Hall,2602.05569,"Microscopic origin of an exceptionally large phonon thermal Hall effect from charge puddles in a topological insulator",cond-mat.str-el,anchor,yes,Phonons and Thermal Properties,Thermal Transport;Topological Properties,Transport Measurements
2026-03-29,phonon-thermal-Hall,2401.03064,"Phonon thermal Hall effect in charge-compensated topological insulators",cond-mat.str-el,related,yes,Phonons and Thermal Properties,Thermal Transport;Topological Properties,Transport Measurements
2026-03-29,phonon-thermal-Hall,2601.13283,"Surface Phonon Hall Viscosity Induced Phonon Chirality and Nonreciprocity in Magnetic Topological Insulator Films",cond-mat.mes-hall,related,yes,Phonons and Thermal Properties,Thermal Transport;Topological Properties,First-Principles Calculations
2026-03-29,phonon-thermal-Hall,2603.08777,"Thermal Hall conductivity from semiclassical spin dynamics simulations: implementation and applications to chiral ferromagnets and Kitaev magnets",cond-mat.str-el,related,yes,Phonons and Thermal Properties,Thermal Transport;Magnons and Spin Dynamics,Monte Carlo
2026-03-29,phonon-thermal-Hall,2603.10605,"Formulation of intrinsic nonlinear thermal conductivity for bosonic systems using quantum kinetic equation",cond-mat.str-el,related,yes,Phonons and Thermal Properties,Nonlinear Response;Thermal Transport,
2026-03-29,phonon-thermal-Hall,2511.08932,"Phonon Thermal Hall Effect: The Roles of Disorder Annealing and Metallic Contacts",cond-mat.str-el,related,yes,Phonons and Thermal Properties,Thermal Transport;Phase Transitions,Transport Measurements
2026-03-29,phonon-thermal-Hall,2110.13277,"Large Phonon Thermal Hall Conductivity in a Simple Antiferromagnetic Insulator",cond-mat.str-el,related,yes,Phonons and Thermal Properties,Thermal Transport;Magnetic Anisotropy,Transport Measurements
2026-03-29,phonon-thermal-Hall,2207.02240,"Phonons behave like Electrons in the Thermal Hall Effect of the Cuprates",cond-mat.str-el,related,yes,Phonons and Thermal Properties,Thermal Transport;Charge Orbital and Spin Order,Transport Measurements
